,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,SG_UF_RESIDENCIA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
2989,3163508,São José do Jacuri,MG,477.720618556701,566.6298076923077,507.75384615384615,501.47731958762887,455.38461538461536
2990,3163607,São José do Mantimento,MG,485.74042553191487,547.8468085106383,504.4085106382979,527.131914893617,429.36170212765956
2991,3163706,São Lourenço,MG,511.2250280583614,592.7231656184487,550.75,573.5475869809203,559.16142557652
2992,3163805,São Miguel do Anta,MG,497.04594594594596,571.2731601731602,517.3835497835498,552.0540540540541,515.3246753246754
2993,3163904,São Pedro da União,MG,502.6551020408163,581.433962264151,530.622641509434,539.2755102040817,539.622641509434
2994,3164001,São Pedro dos Ferros,MG,498.7232394366197,569.7342465753425,511.5335616438356,524.6197183098592,509.7260273972603
2995,3164100,São Pedro do Suaçuí,MG,487.4640625,536.6763157894737,489.75263157894733,509.2953125,443.42105263157896
2996,3164209,São Romão,MG,458.69108910891094,526.8790909090909,483.31454545454545,487.3544554455446,426.54545454545456
2997,3164308,São Roque de Minas,MG,496.97731958762887,557.4151515151515,531.3353535353535,552.0082474226805,479.3939393939394
2998,3164407,São Sebastião da Bela Vista,MG,482.28000000000003,554.0514705882352,506.2235294117647,538.7415384615384,463.8235294117647
2999,3164431,São Sebastião da Vargem Alegre,MG,518.1,572.55,528.166129032258,575.615,518.7096774193549
3000,3164472,São Sebastião do Anta,MG,484.2477777777778,576.9489361702127,518.4287234042554,528.1022222222222,505.1063829787234
3001,3164506,São Sebastião do Maranhão,MG,467.2751824817518,525.4,490.13594771241833,503.83795620437957,455.29411764705884
3002,3164605,São Sebastião do Oeste,MG,492.7014925373134,570.1171428571428,522.8514285714285,532.4149253731343,501.7142857142857
3003,3164704,São Sebastião do Paraíso,MG,523.6140202702703,587.8669572107765,544.6938985736925,568.768918918919,562.9635499207607
3004,3164803,São Sebastião do Rio Preto,MG,475.90754716981127,558.262962962963,506.67962962962963,516.2698113207547,438.51851851851853
3005,3164902,São Sebastião do Rio Verde,MG,496.5060606060606,591.7484848484848,538.3000000000001,582.9,494.54545454545456
3006,3165008,São Tiago,MG,485.93715415019767,571.3221804511279,528.8966165413534,540.996442687747,552.8571428571429
